SampleID_Tara	SampleID_NCBI	SampleID_SRA	Station label	Event label	Environmental feature	"Depth, nominal"	"Depth, top/min"	"Depth, bottom/max"	"Size fraction, lower threshold"	"Size fraction, upper threshold"	Sample material	Sample method	Sample code/label	Distance	Duration	File name	Number of observations	Chlorophyll c3	Chlorophyll c3_1	Chlorophyll c3_2	Chlorophyll c3_3	Chlorophyll c3_4	Chlorophyll c1+c2	Chlorophyll c1+c2_1	Chlorophyll c1+c2_2	Chlorophyll c1+c2_3	Chlorophyll c1+c2_4	Chlorophyllide a	Chlorophyllide a_1	Chlorophyllide a_2	Chlorophyllide a_3	Chlorophyllide a_4	Peridinin	Peridinin_1	Peridinin_2	Peridinin_3	Peridinin_4	Phaeophorbide a	Phaeophorbide a_1	Phaeophorbide a_2	Phaeophorbide a_3	Phaeophorbide a_4	19-Butanoyloxyfucoxanthin	19-Butanoyloxyfucoxanthin_1	19-Butanoyloxyfucoxanthin_2	19-Butanoyloxyfucoxanthin_3	19-Butanoyloxyfucoxanthin_4	Fucoxanthin	Fucoxanthin_1	Fucoxanthin_2	Fucoxanthin_3	Fucoxanthin_4	Neoxanthin	Neoxanthin_1	Neoxanthin_2	Neoxanthin_3	Neoxanthin_4	Prasinoxanthin	Prasinoxanthin_1	Prasinoxanthin_2	Prasinoxanthin_3	Prasinoxanthin_4	Violaxanthin	Violaxanthin_1	Violaxanthin_2	Violaxanthin_3	Violaxanthin_4	19-Hexanoyloxyfucoxanthin	19-Hexanoyloxyfucoxanthin_1	19-Hexanoyloxyfucoxanthin_2	19-Hexanoyloxyfucoxanthin_3	19-Hexanoyloxyfucoxanthin_4	Diadinoxanthin	Diadinoxanthin_1	Diadinoxanthin_2	Diadinoxanthin_3	Diadinoxanthin_4	Alloxanthin	Alloxanthin_1	Alloxanthin_2	Alloxanthin_3	Alloxanthin_4	Diatoxanthin	Diatoxanthin_1	Diatoxanthin_2	Diatoxanthin_3	Diatoxanthin_4	Zeaxanthin	Zeaxanthin_1	Zeaxanthin_2	Zeaxanthin_3	Zeaxanthin_4	Lutein	Lutein_1	Lutein_2	Lutein_3	Lutein_4	Bacteriochlorophyll a	Bacteriochlorophyll a_1	Bacteriochlorophyll a_2	Bacteriochlorophyll a_3	Bacteriochlorophyll a_4	Divinyl chlorophyll b	Divinyl chlorophyll b_1	Divinyl chlorophyll b_2	Divinyl chlorophyll b_3	Divinyl chlorophyll b_4	Chlorophyll b	Chlorophyll b_1	Chlorophyll b_2	Chlorophyll b_3	Chlorophyll b_4	Chlorophyll b plus divinyl chlorophyll b	Chlorophyll b plus divinyl chlorophyll b_1	Chlorophyll b plus divinyl chlorophyll b_2	Chlorophyll b plus divinyl chlorophyll b_3	Chlorophyll b plus divinyl chlorophyll b_4	Divinyl chlorophyll a	Divinyl chlorophyll a_1	Divinyl chlorophyll a_2	Divinyl chlorophyll a_3	Divinyl chlorophyll a_4	Chlorophyll a	Chlorophyll a_1	Chlorophyll a_2	Chlorophyll a_3	Chlorophyll a_4	"Chlorophyll a, total"	"Chlorophyll a, total_1"	"Chlorophyll a, total_2"	"Chlorophyll a, total_3"	"Chlorophyll a, total_4"	Phaeophytin a	Phaeophytin a_1	Phaeophytin a_2	Phaeophytin a_3	Phaeophytin a_4	Carotene	Carotene_1	Carotene_2	Carotene_3	Carotene_4
TARA_B100000105	SAMEA2620084	ERS488919	TARA_039	TARA_20100318T1133Z_039_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	25	23	27	1.6	20	TARA_039_DCM_1.6-20	SEQ-(100L)_W1.6-20	TARA_20100318T1133Z_039_EVENT_PUMP_DCM_(25m)_SEQ-(100L)_W1.6-20_B100000105	2.0758	P00DT01H40M	"tara_20100318t0956z_039_event_cast,tara_20100320t0817z_039_event_cast"	2	0.0074	0.0074	0.01255	0.0177	0.0177	0.0097	0.0097	0.0144	0.0191	0.0191	0	0	0	0	0	0.0033	0.0033	0.00495	0.0066	0.0066	0	0	0	0	0	0.0047	0.0047	0.00925	0.0138	0.0138	0.003	0.003	0.00545	0.0079	0.0079	0	0	0.00115	0.0023	0.0023	0	0	0.00095	0.0019	0.0019	6.00E-04	6.00E-04	0.00095	0.0013	0.0013	0.0221	0.0221	0.03505	0.048	0.048	0.0027	0.0027	0.00375	0.0048	0.0048	0	0	0	0	0	0	0	0	0	0	0.0777	0.0777	0.0962	0.1147	0.1147	0	0	0	0	0	9.00E-04	9.00E-04	0.001	0.0011	0.0011	0	0	0	0	0	0.0199	0.0199	0.02985	0.0398	0.0398	0.0199	0.0199	0.02985	0.0398	0.0398	0.0601	0.0601	0.0775	0.0949	0.0949	0.118	0.118	0.1504	0.1828	0.1828	0.1781	0.1781	0.2279	0.2777	0.2777	0	0	0	0	0	0.0115	0.0115	0.0153	0.0191	0.0191
TARA_B100002029	SAMEA2623919	ERS494628	TARA_152	TARA_20120319T1848Z_152_EVENT_CAST	[MIX] marine epipelagic wind mixed layer (ENVO:01000061)	NA	5	160	0.22	3	TARA_152_MIX_0.22-3	SEQ-(100L)_W0.22-3	TARA_20120319T1848Z_152_EVENT_CAST_MIX_(5-160m)_SEQ-(100L)_W0.22-3_B100002029	4451.7584	P15DT03H34M	tara_20120202t1514z_145_event_cast	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_B100001179	SAMEA2623907	ERS494616	TARA_152	TARA_20120319T1502Z_152_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	800	790	808	0.22	3	TARA_152_MES_0.22-3	SEQ-(100L)_W0.22-3	TARA_20120319T1502Z_152_Combined-EVENTS_CAST_MES_(800m)_SEQ-(100L)_W0.22-3_B100001179	4455.5831	P14DT23H47M	tara_20120202t1514z_145_event_cast	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_B100001173	SAMEA2623886	ERS494579	TARA_152	TARA_20120319T0818Z_152_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	3	TARA_152_SRF_0.22-3	SEQ-(100L)_W0.22-3	TARA_20120319T0818Z_152_EVENT_PUMP_SRF_(5m)_SEQ-(100L)_W0.22-3_B100001173	4459.4824	P14DT17H06M	tara_20120202t1514z_145_event_cast	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_B100001559	SAMEA2623868	ERS494559	TARA_151	TARA_20120309T1745Z_151_Combined-EVENTS_CAST	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	80	70	88	0.22	3	TARA_151_DCM_0.22-3	SEQ-(100L)_W0.22-3	TARA_20120309T1745Z_151_Combined-EVENTS_CAST_DCM_(80m)_SEQ-(100L)_W0.22-3_B100001559	3629.2726	P05DT02H30M	tara_20120202t1514z_145_event_cast	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_B100001564	SAMEA2623850	ERS494518	TARA_151	TARA_20120309T0859Z_151_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	3	TARA_151_SRF_0.22-3	SEQ-(10L-or-15min)_W0.22-3	TARA_20120309T0859Z_151_EVENT_PUMP_SRF_(5m)_SEQ-(10L-or-15min)_W0.22-3_B100001564	3622.1006	P04DT17H47M	tara_20120202t1514z_145_event_cast	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_B100001778	SAMEA2623826	ERS494488	TARA_150	TARA_20120305T1734Z_150_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	40	38	42	0.22	3	TARA_150_DCM_0.22-3	SEQ-(100L)_W0.22-3	TARA_20120305T1734Z_150_EVENT_PUMP_DCM_(40m)_SEQ-(100L)_W0.22-3_B100001778	2921.8497	P01DT02H22M	tara_20120202t1514z_145_event_cast	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_B100001769	SAMEA2623808	ERS494445	TARA_150	TARA_20120305T0925Z_150_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	3	TARA_150_SRF_0.22-3	SEQ-(10L-or-15min)_W0.22-3	TARA_20120305T0925Z_150_EVENT_PUMP_SRF_(5m)_SEQ-(10L-or-15min)_W0.22-3_B100001769	2905.6303	P31DT18H13M	tara_20120202t1514z_145_event_cast	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_B100001765	SAMEA2623794	ERS494431	TARA_149	TARA_20120301T1853Z_149_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	740	732	750	0.22	3	TARA_149_MES_0.22-3	SEQ-(10L-or-15min)_W0.22-3	TARA_20120301T1853Z_149_Combined-EVENTS_CAST_MES_(740m)_SEQ-(10L-or-15min)_W0.22-3_B100001765	1889.8822	P28DT03H38M	tara_20120202t1514z_145_event_cast	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_B100001758	SAMEA2623774	ERS494394	TARA_149	TARA_20120301T1048Z_149_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	3	TARA_149_SRF_0.22-3	SEQ-(10L-or-15min)_W0.22-3	TARA_20120301T1048Z_149_EVENT_PUMP_SRF_(5m)_SEQ-(10L-or-15min)_W0.22-3_B100001758	1880.2133	P27DT19H36M	tara_20120202t1514z_145_event_cast	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_B100001750	SAMEA2623756	ERS494374	TARA_148b	TARA_20120227T1532Z_148b_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	250	240	258	0.22	3	TARA_148b_MES_0.22-3	SEQ-(10L-or-15min)_W0.22-3	TARA_20120227T1532Z_148b_Combined-EVENTS_CAST_MES_(250m)_SEQ-(10L-or-15min)_W0.22-3_B100001750	1292.6116	P25DT00H16M	tara_20120202t1514z_145_event_cast	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_B100001741	SAMEA2623734	ERS494332	TARA_148	TARA_20120224T1140Z_148_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	3	TARA_148_SRF_0.22-3	SEQ-(10L-or-15min)_W0.22-3	TARA_20120224T1140Z_148_EVENT_PUMP_SRF_(5m)_SEQ-(10L-or-15min)_W0.22-3_B100001741	984.8106	P21DT20H28M	tara_20120202t1514z_145_event_cast	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_B100001167	SAMEA2623693	ERS494274	TARA_146	TARA_20120216T1208Z_146_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	640	630	648	0.22	3	TARA_146_MES_0.22-3	SEQ-(100L)_W0.22-3	TARA_20120216T1208Z_146_Combined-EVENTS_CAST_MES_(640m)_SEQ-(100L)_W0.22-3_B100001167	516.0294	P13DT20H49M	tara_20120202t1514z_145_event_cast	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_B100001540	SAMEA2623673	ERS494236	TARA_146	TARA_20120215T1254Z_146_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	3	TARA_146_SRF_0.22-3	SEQ-(100L)_W0.22-3	TARA_20120215T1254Z_146_EVENT_PUMP_SRF_(5m)_SEQ-(100L)_W0.22-3_B100001540	515.8572	P12DT21H42M	tara_20120202t1514z_145_event_cast	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_B100001146	SAMEA2623649	ERS494208	TARA_145	TARA_20120202T1839Z_145_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	590	582	600	0.22	3	TARA_145_MES_0.22-3	SEQ-(100L)_W0.22-3	TARA_20120202T1839Z_145_Combined-EVENTS_CAST_MES_(590m)_SEQ-(100L)_W0.22-3_B100001146	4.3226	P00DT03H24M	tara_20120202t1514z_145_event_cast	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_B100001142	SAMEA2623627	ERS494170	TARA_145	TARA_20120202T1152Z_145_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	3	TARA_145_SRF_0.22-3	SEQ-(100L)_W0.22-3	TARA_20120202T1152Z_145_EVENT_PUMP_SRF_(5m)_SEQ-(100L)_W0.22-3_B100001142	3.3686	P00DT03H19M	tara_20120202t1514z_145_event_cast	2	0.0236	0.0236	0.0248	0.026	0.026	0.058	0.058	0.0592	0.0604	0.0604	0	0	0	0	0	0.0064	0.0064	0.00715	0.0079	0.0079	0	0	0	0	0	0.025	0.025	0.0266	0.0282	0.0282	0.0991	0.0991	0.10205	0.105	0.105	0.0157	0.0157	0.0164	0.0171	0.0171	0.0312	0.0312	0.03245	0.0337	0.0337	0.008	0.008	0.00835	0.0087	0.0087	0.0854	0.0854	0.0907	0.096	0.096	0.0135	0.0135	0.01425	0.015	0.015	0.0208	0.0208	0.02185	0.0229	0.0229	0.001	0.001	0.0011	0.0012	0.0012	0.0201	0.0201	0.0206	0.0211	0.0211	0.0033	0.0033	0.00345	0.0036	0.0036	0	0	0	0	0	0	0	0	0	0	0.0827	0.0827	0.08515	0.0876	0.0876	0.0827	0.0827	0.08515	0.0876	0.0876	0	0	0	0	0	0.6316	0.6316	0.64655	0.6615	0.6615	0.6316	0.6316	0.64655	0.6615	0.6615	0.0131	0.0131	0.0145	0.0159	0.0159	0.0221	0.0221	0.02315	0.0242	0.0242
TARA_B100002049	SAMEA2623513	ERS494006	TARA_142	TARA_20120110T1451Z_142_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	640	636	645	0.22	3	TARA_142_MES_0.22-3	SEQ-(100L)_W0.22-3	TARA_20120110T1451Z_142_Combined-EVENTS_CAST_MES_(640m)_SEQ-(100L)_W0.22-3_B100002049	14.2889	P01DT02H07M	tara_20120109t1243z_142_event_cast	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.00E-04	5.00E-04	5.00E-04	5.00E-04	5.00E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_B100002052	SAMEA2623488	ERS493981	TARA_142	TARA_20120109T2019Z_142_Combined-EVENTS_CAST	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	125	121	130	0.22	3	TARA_142_DCM_0.22-3	SEQ-(100L)_W0.22-3	TARA_20120109T2019Z_142_Combined-EVENTS_CAST_DCM_(125m)_SEQ-(100L)_W0.22-3_B100002052	13.7874	P00DT07H35M	tara_20120109t1243z_142_event_cast	1	0.0294	0.0294	0.0294	0.0294	0.0294	0.0272	0.0272	0.0272	0.0272	0.0272	0	0	0	0	0	0.0024	0.0024	0.0024	0.0024	0.0024	0	0	0	0	0	0.041	0.041	0.041	0.041	0.041	0.0189	0.0189	0.0189	0.0189	0.0189	0.001	0.001	0.001	0.001	0.001	0.0019	0.0019	0.0019	0.0019	0.0019	6.00E-04	6.00E-04	6.00E-04	6.00E-04	6.00E-04	0.0748	0.0748	0.0748	0.0748	0.0748	0.0078	0.0078	0.0078	0.0078	0.0078	0.0025	0.0025	0.0025	0.0025	0.0025	7.00E-04	7.00E-04	7.00E-04	7.00E-04	7.00E-04	0.0388	0.0388	0.0388	0.0388	0.0388	0	0	0	0	0	6.00E-04	6.00E-04	6.00E-04	6.00E-04	6.00E-04	0.0087	0.0087	0.0087	0.0087	0.0087	0.0122	0.0122	0.0122	0.0122	0.0122	0.0209	0.0209	0.0209	0.0209	0.0209	0.0603	0.0603	0.0603	0.0603	0.0603	0.2314	0.2314	0.2314	0.2314	0.2314	0.2918	0.2918	0.2918	0.2918	0.2918	0.0031	0.0031	0.0031	0.0031	0.0031	0.0202	0.0202	0.0202	0.0202	0.0202
TARA_B100002051	SAMEA2623463	ERS493938	TARA_142	TARA_20120109T1341Z_142_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	3	TARA_142_SRF_0.22-3	SEQ-(100L)_W0.22-3	TARA_20120109T1341Z_142_EVENT_PUMP_SRF_(5m)_SEQ-(100L)_W0.22-3_B100002051	2.1206	P00DT00H59M	tara_20120109t1243z_142_event_cast	1	0.0286	0.0286	0.0286	0.0286	0.0286	0.0284	0.0284	0.0284	0.0284	0.0284	0	0	0	0	0	0.0024	0.0024	0.0024	0.0024	0.0024	0	0	0	0	0	0.0392	0.0392	0.0392	0.0392	0.0392	0.018	0.018	0.018	0.018	0.018	0.001	0.001	0.001	0.001	0.001	0.0016	0.0016	0.0016	0.0016	0.0016	5.00E-04	5.00E-04	5.00E-04	5.00E-04	5.00E-04	0.0674	0.0674	0.0674	0.0674	0.0674	0.0076	0.0076	0.0076	0.0076	0.0076	0.0027	0.0027	0.0027	0.0027	0.0027	7.00E-04	7.00E-04	7.00E-04	7.00E-04	7.00E-04	0.0394	0.0394	0.0394	0.0394	0.0394	0	0	0	0	0	5.00E-04	5.00E-04	5.00E-04	5.00E-04	5.00E-04	0.0085	0.0085	0.0085	0.0085	0.0085	0.0127	0.0127	0.0127	0.0127	0.0127	0.0212	0.0212	0.0212	0.0212	0.0212	0.0592	0.0592	0.0592	0.0592	0.0592	0.2412	0.2412	0.2412	0.2412	0.2412	0.3003	0.3003	0.3003	0.3003	0.3003	0.003	0.003	0.003	0.003	0.003	0.0209	0.0209	0.0209	0.0209	0.0209
