sampling_event_ID	BioSample	SRA	Sample name	bacterial_count	chlorophyll	collection_date	conduc	depth	diss_inorg_carb	env_biome	purl_biome	env_feature	purl_feature	env_material	purl_material	geo_loc_name	lat	lon	max_filter_size	min_filter_size	samp_volume	site_name	std_norm_factor
ANM11_20-05-2011_2.484383S55.007500W_1.6	SAMN03252784	SRS832512	RCM8	3660000	3.99	20-05-2011	16.8	15	156	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	Brazil: Amazon River	-2.484383	-55.0075	297	2	1.6	Tapajos Depth (TAPD)	10146
ANM11_20-05-2011_2.484383S55.007500W_1.6	SAMN03252783	SRS832342	RCM7	3660000	3.99	20-05-2011	16.8	15	156	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	Brazil: Amazon River	-2.484383	-55.0075	2	0.2	1.6	Tapajos Depth (TAPD)	42446
ANM11_20-05-2011_2.484383S55.007500W_1.72	SAMN03252782	SRS832340	RCM6	3660000	3.99	20-05-2011	16.8	15	156	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	Brazil: Amazon River	-2.484383	-55.0075	297	2	1.72	Tapajos Depth (TAPD)	15541
ANM11_20-05-2011_2.484383S55.007500W_1.72	SAMN03252781	SRS830364	RCM5	3660000	3.99	20-05-2011	16.8	15	156	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	Brazil: Amazon River	-2.484383	-55.0075	2	0.2	1.72	Tapajos Depth (TAPD)	39960
ANM11_20-05-2011_2.484383S55.007500W_1.49	SAMN03252780	SRS830361	RCM4	3580000	3.82	20-05-2011	15.9	0.5	155	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	Brazil: Amazon River	-2.484383	-55.0075	297	2	1.49	Tapajos Surface (TAPS)	14814
ANM11_20-05-2011_2.484383S55.007500W_1.49	SAMN03252779	SRS830355	RCM3	3580000	3.82	20-05-2011	15.9	0.5	155	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	Brazil: Amazon River	-2.484383	-55.0075	2	0.2	1.49	Tapajos Surface (TAPS)	21145
ANM11_20-05-2011_2.484383S55.007500W_1.59	SAMN03252778	SRS829588	RCM2	3580000	3.82	20-05-2011	15.9	0.5	155	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	Brazil: Amazon River	-2.484383	-55.0075	297	2	1.59	Tapajos Surface (TAPS)	12745
ANM11_20-05-2011_2.484383S55.007500W_1.59	SAMN03252777	SRS829184	RCM1	3580000	3.82	20-05-2011	15.9	0.5	155	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	Brazil: Amazon River	-2.484383	-55.0075	2	0.2	1.59	Tapajos Surface (TAPS)	10022
ANM11_13-05-2011_1.519367S48.917950W_1.34	SAMN03252788	SRS832566	RCM12	3640000	2.03	13-05-2011	37.1	19	308	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	Brazil: Amazon River	-1.519367	-48.91795	297	2	1.34	Belem (BLM)	19783
ANM11_13-05-2011_1.519367S48.917950W_1.34	SAMN03252787	SRS832526	RCM11	3640000	2.03	13-05-2011	37.1	19	308	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	Brazil: Amazon River	-1.519367	-48.91795	2	0.2	1.34	Belem (BLM)	5418
ANM11_13-05-2011_1.519367S48.917950W_1.8	SAMN03252786	SRS832529	RCM10	3640000	2.03	13-05-2011	37.1	19	308	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	Brazil: Amazon River	-1.519367	-48.91795	297	2	1.8	Belem (BLM)	37938
