SampleID_Tara	SampleID_NCBI	SampleID_SRA	Station label	Event label	Environmental feature	"Depth, nominal"	"Depth, top/min"	"Depth, bottom/max"	"Size fraction, lower threshold"	"Size fraction, upper threshold"	Sample material	Sample method	Sample code/label	Distance	Duration	File name	Number of observations	Chlorophyll c3_min	Chlorophyll c3_first_quartile	Chlorophyll c3_median	Chlorophyll c3_third_quartile	Chlorophyll c3_max	Chlorophyll c1+c2_min	Chlorophyll c1+c2_first_quartile	Chlorophyll c1+c2_median	Chlorophyll c1+c2_third_quartile	Chlorophyll c1+c2_max	Chlorophyllide a_min	Chlorophyllide a_first_quartile	Chlorophyllide a_median	Chlorophyllide a_third_quartile	Chlorophyllide a_max	Peridinin_min	Peridinin_first_quartile	Peridinin_median	Peridinin_third_quartile	Peridinin_max	Phaeophorbide a_min	Phaeophorbide a_first_quartile	Phaeophorbide a_median	Phaeophorbide a_third_quartile	Phaeophorbide a_max	19-Butanoyloxyfucoxanthin_min	19-Butanoyloxyfucoxanthin_first_quartile	19-Butanoyloxyfucoxanthin_median	19-Butanoyloxyfucoxanthin_third_quartile	19-Butanoyloxyfucoxanthin_max	Fucoxanthin_min	Fucoxanthin_first_quartile	Fucoxanthin_median	Fucoxanthin_third_quartile	Fucoxanthin_max	Neoxanthin_min	Neoxanthin_first_quartile	Neoxanthin_median	Neoxanthin_third_quartile	Neoxanthin_max	Prasinoxanthin_min	Prasinoxanthin_first_quartile	Prasinoxanthin_median	Prasinoxanthin_third_quartile	Prasinoxanthin_max	Violaxanthin_min	Violaxanthin_first_quartile	Violaxanthin_median	Violaxanthin_third_quartile	Violaxanthin_max	19-Hexanoyloxyfucoxanthin_min	19-Hexanoyloxyfucoxanthin_first_quartile	19-Hexanoyloxyfucoxanthin_median	19-Hexanoyloxyfucoxanthin_third_quartile	19-Hexanoyloxyfucoxanthin_max	Diadinoxanthin_min	Diadinoxanthin_first_quartile	Diadinoxanthin_median	Diadinoxanthin_third_quartile	Diadinoxanthin_max	Alloxanthin_min	Alloxanthin_first_quartile	Alloxanthin_median	Alloxanthin_third_quartile	Alloxanthin_max	Diatoxanthin_min	Diatoxanthin_first_quartile	Diatoxanthin_median	Diatoxanthin_third_quartile	Diatoxanthin_max	Zeaxanthin_min	Zeaxanthin_first_quartile	Zeaxanthin_median	Zeaxanthin_third_quartile	Zeaxanthin_max	Lutein_min	Lutein_first_quartile	Lutein_median	Lutein_third_quartile	Lutein_max	Bacteriochlorophyll a_min	Bacteriochlorophyll a_first_quartile	Bacteriochlorophyll a_median	Bacteriochlorophyll a_third_quartile	Bacteriochlorophyll a_max	Divinyl chlorophyll b_min	Divinyl chlorophyll b_first_quartile	Divinyl chlorophyll b_median	Divinyl chlorophyll b_third_quartile	Divinyl chlorophyll b_max	Chlorophyll b_min	Chlorophyll b_first_quartile	Chlorophyll b_median	Chlorophyll b_third_quartile	Chlorophyll b_max	Chlorophyll b plus divinyl chlorophyll b_min	Chlorophyll b plus divinyl chlorophyll b_first_quartile	Chlorophyll b plus divinyl chlorophyll b_median	Chlorophyll b plus divinyl chlorophyll b_third_quartile	Chlorophyll b plus divinyl chlorophyll b_max	Divinyl chlorophyll a_min	Divinyl chlorophyll a_first_quartile	Divinyl chlorophyll a_median	Divinyl chlorophyll a_third_quartile	Divinyl chlorophyll a_max	Chlorophyll a_min	Chlorophyll a_first_quartile	Chlorophyll a_median	Chlorophyll a_third_quartile	Chlorophyll a_max	"Chlorophyll a, total_min"	"Chlorophyll a, total_first_quartile"	"Chlorophyll a, total_median"	"Chlorophyll a, total_third_quartile"	"Chlorophyll a, total_max"	Phaeophytin a_min	Phaeophytin a_first_quartile	Phaeophytin a_median	Phaeophytin a_third_quartile	Phaeophytin a_max	Carotene_min	Carotene_first_quartile	Carotene_median	Carotene_third_quartile	Carotene_max
TARA_N000002785	SAMEA2731676	ERS494606	TARA_152	TARA_20120319T0958Z_152_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	5	20	TARA_152_SRF_5-20	SEQ-(500mL-or-15min)_N5-20	TARA_20120319T0958Z_152_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N5-20_N000002785	4458.2643	P14DT18H46M	tara_20120202t1514z_145_event_cast	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000002106	SAMEA2732078	ERS494323	TARA_147	TARA_20120218T2123Z_147_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	5	20	TARA_147_SRF_5-20	SEQ-(500mL-or-15min)_N5-20	TARA_20120218T2123Z_147_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N5-20_N000002106	759.5468	P16DT06H11M	tara_20120202t1514z_145_event_cast	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000003044	SAMEA2732322	ERS493872	TARA_139	TARA_20111215T2007Z_139_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	180	2000	TARA_139_SRF_180-2000	SEQ-(500mL-or-15min)_N180-2000	TARA_20111215T2007Z_139_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N180-2000_N000003044	3.0226	P00DT02H00M	tara_20111215t1808z_139_event_cast	2	0.0611	0.0611	0.0655	0.0699	0.0699	0.0828	0.0828	0.09065	0.0985	0.0985	0.0122	0.0122	0.0133	0.0144	0.0144	0.0214	0.0214	0.02845	0.0355	0.0355	0	0	0	0	0	0.0719	0.0719	0.0769	0.0819	0.0819	0.0612	0.0612	0.06825	0.0753	0.0753	0.0245	0.0245	0.02775	0.031	0.031	0.0028	0.0028	0.0028	0.0028	0.0028	0.0081	0.0081	0.00935	0.0106	0.0106	0.2091	0.2091	0.2313	0.2535	0.2535	0.0185	0.0185	0.02445	0.0304	0.0304	0	0	0.00065	0.0013	0.0013	0.0032	0.0032	0.0048	0.0064	0.0064	0.156	0.156	0.1813	0.2066	0.2066	0.0117	0.0117	0.0157	0.0197	0.0197	0.0051	0.0051	0.0053	0.0055	0.0055	0.0161	0.0161	0.018	0.0199	0.0199	0.11	0.11	0.12975	0.1495	0.1495	0.1299	0.1299	0.14775	0.1656	0.1656	0.1333	0.1333	0.1386	0.1439	0.1439	0.4907	0.4907	0.5888	0.6869	0.6869	0.6362	0.6362	0.74065	0.8451	0.8451	0.018	0.018	0.0182	0.0184	0.0184	0.0336	0.0336	0.04055	0.0475	0.0475
TARA_N000003041	SAMEA2732277	ERS493867	TARA_139	TARA_20111215T1745Z_139_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	20	180	TARA_139_SRF_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20111215T1745Z_139_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N20-180_N000003041	0.79205	P00DT00H21M	tara_20111215t1808z_139_event_cast	2	0.0611	0.0611	0.0655	0.0699	0.0699	0.0828	0.0828	0.09065	0.0985	0.0985	0.0122	0.0122	0.0133	0.0144	0.0144	0.0214	0.0214	0.02845	0.0355	0.0355	0	0	0	0	0	0.0719	0.0719	0.0769	0.0819	0.0819	0.0612	0.0612	0.06825	0.0753	0.0753	0.0245	0.0245	0.02775	0.031	0.031	0.0028	0.0028	0.0028	0.0028	0.0028	0.0081	0.0081	0.00935	0.0106	0.0106	0.2091	0.2091	0.2313	0.2535	0.2535	0.0185	0.0185	0.02445	0.0304	0.0304	0	0	0.00065	0.0013	0.0013	0.0032	0.0032	0.0048	0.0064	0.0064	0.156	0.156	0.1813	0.2066	0.2066	0.0117	0.0117	0.0157	0.0197	0.0197	0.0051	0.0051	0.0053	0.0055	0.0055	0.0161	0.0161	0.018	0.0199	0.0199	0.11	0.11	0.12975	0.1495	0.1495	0.1299	0.1299	0.14775	0.1656	0.1656	0.1333	0.1333	0.1386	0.1439	0.1439	0.4907	0.4907	0.5888	0.6869	0.6869	0.6362	0.6362	0.74065	0.8451	0.8451	0.018	0.018	0.0182	0.0184	0.0184	0.0336	0.0336	0.04055	0.0475	0.0475
TARA_N000003015	SAMEA2732721	ERS493814	TARA_138	TARA_20111211T1945Z_138_EVENT_NET	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	60	58	62	20	180	TARA_138_DCM_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20111211T1945Z_138_EVENT_NET_DCM_(60m)_SEQ-(500mL-or-15min)_N20-180_N000003015	3.7608	P00DT00H52M	"tara_20111211t2040z_138_event_cast,tara_20111210t1725z_138_event_cast"	3	0.034	0.034375	0.0355	0.03655	0.0369	0.0351	0.0359	0.0383	0.04145	0.0425	0	0	0	0.00465	0.0062	0.007	0.008625	0.0135	0.0141	0.0143	0	0	0	0	0	0.0397	0.04165	0.0475	0.0493	0.0499	0.0127	0.012825	0.0132	0.013575	0.0137	0.0029	0.0044	0.0089	0.00995	0.0103	0	0.00045	0.0018	0.003225	0.0037	8.00E-04	0.001275	0.0027	0.003225	0.0034	0.0547	0.061825	0.0832	0.097975	0.1029	0.0041	0.0044	0.0053	0.005975	0.0062	8.00E-04	0.00085	0.001	0.001075	0.0011	0	0	0	0.000525	7.00E-04	0.0258	0.032575	0.0529	0.064075	0.0678	0	6.00E-04	0.0024	0.0036	0.004	0	0	0	0	0	0.0179	0.02165	0.0329	0.0692	0.0813	0.0381	0.04795	0.0775	0.097225	0.1038	0.0954	0.1014	0.1194	0.132375	0.1367	0.0708	0.075425	0.0893	0.118775	0.1286	0.1877	0.190225	0.1978	0.22885	0.2392	0.2584	0.267125	0.2933	0.3491	0.3677	0	0	0	0.003	0.004	0.0194	0.01995	0.0216	0.021825	0.0219
TARA_N000002406	SAMEA2732910	ERS493358	TARA_132	TARA_20111005T0335Z_132_EVENT_NET	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	115	113	117	20	180	TARA_132_DCM_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20111005T0335Z_132_EVENT_NET_DCM_(115m)_SEQ-(500mL-or-15min)_N20-180_N000002406	3.6531	P00DT06H44M	"tara_20111004t2052z_132_event_cast,tara_20111005t2047z_132_event_cast"	3	0.0135	0.016125	0.024	0.02805	0.0294	0.0166	0.018775	0.0253	0.02635	0.0267	0	0	0	0	0	0.003	0.003125	0.0035	0.003725	0.0038	0	0	0	0	0	0.0162	0.0224	0.041	0.053975	0.0583	0.0043	0.0057	0.0099	0.0108	0.0111	6.00E-04	0.001825	0.0055	0.006775	0.0072	4.00E-04	0.000525	9.00E-04	0.001275	0.0014	3.00E-04	5.00E-04	0.0011	0.001475	0.0016	0.0339	0.038225	0.0512	0.053675	0.0545	0.0023	0.00245	0.0029	0.003425	0.0036	0	0	0	0	0	0	0	0	0	0	0.0278	0.02965	0.0352	0.035725	0.0359	0	0	0	0	0	0	0	0	0	0	0.0216	0.03305	0.0674	0.09155	0.0996	0.0364	0.038525	0.0449	0.0497	0.0513	0.0729	0.08275	0.1123	0.130075	0.136	0.083	0.085475	0.0929	0.0947	0.0953	0.0857	0.096775	0.13	0.14335	0.1478	0.1688	0.18295	0.2254	0.236875	0.2407	0.0023	0.0026	0.0035	0.003875	0.004	0.0159	0.018325	0.0256	0.02695	0.0274
TARA_N000002346	SAMEA2732443	ERS493206	TARA_130	TARA_20110913T2025Z_130_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	20	180	TARA_130_SRF_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20110913T2025Z_130_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N20-180_N000002346	2.0073	P00DT00H26M	tara_20110913t2053z_130_event_cast	1	0	0	0	0	0	0.0042	0.0042	0.0042	0.0042	0.0042	0	0	0	0	0	0.0013	0.0013	0.0013	0.0013	0.0013	0	0	0	0	0	0.0032	0.0032	0.0032	0.0032	0.0032	0.0013	0.0013	0.0013	0.0013	0.0013	0	0	0	0	0	0	0	0	0	0	6.00E-04	6.00E-04	6.00E-04	6.00E-04	6.00E-04	0.0121	0.0121	0.0121	0.0121	0.0121	0.0018	0.0018	0.0018	0.0018	0.0018	0	0	0	0	0	5.00E-04	5.00E-04	5.00E-04	5.00E-04	5.00E-04	0.0585	0.0585	0.0585	0.0585	0.0585	0	0	0	0	0	0	0	0	0	0	0.0079	0.0079	0.0079	0.0079	0.0079	0.0039	0.0039	0.0039	0.0039	0.0039	0.0118	0.0118	0.0118	0.0118	0.0118	0.0676	0.0676	0.0676	0.0676	0.0676	0.0319	0.0319	0.0319	0.0319	0.0319	0.0995	0.0995	0.0995	0.0995	0.0995	0	0	0	0	0	0.0082	0.0082	0.0082	0.0082	0.0082
TARA_N000002347	SAMEA2732442	ERS493205	TARA_130	TARA_20110913T1833Z_130_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	180	2000	TARA_130_SRF_180-2000	SEQ-(500mL-or-15min)_N180-2000	TARA_20110913T1833Z_130_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N180-2000_N000002347	8.4667	P00DT02H18M	tara_20110913t2053z_130_event_cast	1	0	0	0	0	0	0.0042	0.0042	0.0042	0.0042	0.0042	0	0	0	0	0	0.0013	0.0013	0.0013	0.0013	0.0013	0	0	0	0	0	0.0032	0.0032	0.0032	0.0032	0.0032	0.0013	0.0013	0.0013	0.0013	0.0013	0	0	0	0	0	0	0	0	0	0	6.00E-04	6.00E-04	6.00E-04	6.00E-04	6.00E-04	0.0121	0.0121	0.0121	0.0121	0.0121	0.0018	0.0018	0.0018	0.0018	0.0018	0	0	0	0	0	5.00E-04	5.00E-04	5.00E-04	5.00E-04	5.00E-04	0.0585	0.0585	0.0585	0.0585	0.0585	0	0	0	0	0	0	0	0	0	0	0.0079	0.0079	0.0079	0.0079	0.0079	0.0039	0.0039	0.0039	0.0039	0.0039	0.0118	0.0118	0.0118	0.0118	0.0118	0.0676	0.0676	0.0676	0.0676	0.0676	0.0319	0.0319	0.0319	0.0319	0.0319	0.0995	0.0995	0.0995	0.0995	0.0995	0	0	0	0	0	0.0082	0.0082	0.0082	0.0082	0.0082
TARA_N000002316	SAMEA2732267	ERS493188	TARA_129	TARA_20110911T1956Z_129_EVENT_NET	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	80	78	82	5	20	TARA_129_DCM_5-20	SEQ-(500mL-or-15min)_N5-20	TARA_20110911T1956Z_129_EVENT_NET_DCM_(80m)_SEQ-(500mL-or-15min)_N5-20_N000002316	6.3797	P00DT14H56M	"tara_20110911t0502z_129_event_cast,tara_20110910t2113z_129_event_cast"	1	0.0143	0.0143	0.0143	0.0143	0.0143	0.0131	0.0131	0.0131	0.0131	0.0131	0	0	0	0	0	0.0036	0.0036	0.0036	0.0036	0.0036	0	0	0	0	0	0.015	0.015	0.015	0.015	0.015	0.004	0.004	0.004	0.004	0.004	0.0025	0.0025	0.0025	0.0025	0.0025	5.00E-04	5.00E-04	5.00E-04	5.00E-04	5.00E-04	7.00E-04	7.00E-04	7.00E-04	7.00E-04	7.00E-04	0.0415	0.0415	0.0415	0.0415	0.0415	0.002	0.002	0.002	0.002	0.002	0	0	0	0	0	0	0	0	0	0	0.0173	0.0173	0.0173	0.0173	0.0173	0	0	0	0	0	0	0	0	0	0	0.0157	0.0157	0.0157	0.0157	0.0157	0.0293	0.0293	0.0293	0.0293	0.0293	0.045	0.045	0.045	0.045	0.045	0.0391	0.0391	0.0391	0.0391	0.0391	0.0736	0.0736	0.0736	0.0736	0.0736	0.1127	0.1127	0.1127	0.1127	0.1127	0	0	0	0	0	0.0087	0.0087	0.0087	0.0087	0.0087
TARA_N000002320	SAMEA2732208	ERS493184	TARA_129	TARA_20110911T1824Z_129_EVENT_NET	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	80	78	82	20	180	TARA_129_DCM_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20110911T1824Z_129_EVENT_NET_DCM_(80m)_SEQ-(500mL-or-15min)_N20-180_N000002320	3.9381	P00DT13H24M	"tara_20110911t0502z_129_event_cast,tara_20110910t2113z_129_event_cast"	1	0.0143	0.0143	0.0143	0.0143	0.0143	0.0131	0.0131	0.0131	0.0131	0.0131	0	0	0	0	0	0.0036	0.0036	0.0036	0.0036	0.0036	0	0	0	0	0	0.015	0.015	0.015	0.015	0.015	0.004	0.004	0.004	0.004	0.004	0.0025	0.0025	0.0025	0.0025	0.0025	5.00E-04	5.00E-04	5.00E-04	5.00E-04	5.00E-04	7.00E-04	7.00E-04	7.00E-04	7.00E-04	7.00E-04	0.0415	0.0415	0.0415	0.0415	0.0415	0.002	0.002	0.002	0.002	0.002	0	0	0	0	0	0	0	0	0	0	0.0173	0.0173	0.0173	0.0173	0.0173	0	0	0	0	0	0	0	0	0	0	0.0157	0.0157	0.0157	0.0157	0.0157	0.0293	0.0293	0.0293	0.0293	0.0293	0.045	0.045	0.045	0.045	0.045	0.0391	0.0391	0.0391	0.0391	0.0391	0.0736	0.0736	0.0736	0.0736	0.0736	0.1127	0.1127	0.1127	0.1127	0.1127	0	0	0	0	0	0.0087	0.0087	0.0087	0.0087	0.0087
TARA_N000002318	SAMEA2732648	ERS493157	TARA_129	TARA_20110911T0026Z_129_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	20	180	TARA_129_SRF_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20110911T0026Z_129_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N20-180_N000002318	9.3062	P00DT03H15M	"tara_20110910t2113z_129_event_cast,tara_20110911t0502z_129_event_cast"	1	0.0049	0.0049	0.0049	0.0049	0.0049	0.0054	0.0054	0.0054	0.0054	0.0054	0	0	0	0	0	0.0023	0.0023	0.0023	0.0023	0.0023	0	0	0	0	0	0.0057	0.0057	0.0057	0.0057	0.0057	0.0025	0.0025	0.0025	0.0025	0.0025	0.0016	0.0016	0.0016	0.0016	0.0016	0	0	0	0	0	9.00E-04	9.00E-04	9.00E-04	9.00E-04	9.00E-04	0.0211	0.0211	0.0211	0.0211	0.0211	0.004	0.004	0.004	0.004	0.004	0	0	0	0	0	0.0014	0.0014	0.0014	0.0014	0.0014	0.0234	0.0234	0.0234	0.0234	0.0234	0.0015	0.0015	0.0015	0.0015	0.0015	0	0	0	0	0	0	0	0	0	0	0.0179	0.0179	0.0179	0.0179	0.0179	0.0179	0.0179	0.0179	0.0179	0.0179	0.025	0.025	0.025	0.025	0.025	0.0475	0.0475	0.0475	0.0475	0.0475	0.0726	0.0726	0.0726	0.0726	0.0726	0	0	0	0	0	0.0041	0.0041	0.0041	0.0041	0.0041
TARA_N000002324	SAMEA2732644	ERS493153	TARA_129	TARA_20110910T2333Z_129_EVENT_NET	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	80	78	82	180	2000	TARA_129_DCM_180-2000	SEQ-(500mL-or-15min)_N180-2000	TARA_20110910T2333Z_129_EVENT_NET_DCM_(80m)_SEQ-(500mL-or-15min)_N180-2000_N000002324	6.7893	P00DT02H22M	"tara_20110910t2113z_129_event_cast,tara_20110911t0502z_129_event_cast"	1	0.0143	0.0143	0.0143	0.0143	0.0143	0.0131	0.0131	0.0131	0.0131	0.0131	0	0	0	0	0	0.0036	0.0036	0.0036	0.0036	0.0036	0	0	0	0	0	0.015	0.015	0.015	0.015	0.015	0.004	0.004	0.004	0.004	0.004	0.0025	0.0025	0.0025	0.0025	0.0025	5.00E-04	5.00E-04	5.00E-04	5.00E-04	5.00E-04	7.00E-04	7.00E-04	7.00E-04	7.00E-04	7.00E-04	0.0415	0.0415	0.0415	0.0415	0.0415	0.002	0.002	0.002	0.002	0.002	0	0	0	0	0	0	0	0	0	0	0.0173	0.0173	0.0173	0.0173	0.0173	0	0	0	0	0	0	0	0	0	0	0.0157	0.0157	0.0157	0.0157	0.0157	0.0293	0.0293	0.0293	0.0293	0.0293	0.045	0.045	0.045	0.045	0.045	0.0391	0.0391	0.0391	0.0391	0.0391	0.0736	0.0736	0.0736	0.0736	0.0736	0.1127	0.1127	0.1127	0.1127	0.1127	0	0	0	0	0	0.0087	0.0087	0.0087	0.0087	0.0087
TARA_N000002322	SAMEA2732441	ERS493147	TARA_129	TARA_20110910T2035Z_129_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	180	2000	TARA_129_SRF_180-2000	SEQ-(500mL-or-15min)_N180-2000	TARA_20110910T2035Z_129_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N180-2000_N000002322	2.1893	P00DT00H35M	"tara_20110910t2113z_129_event_cast,tara_20110911t0502z_129_event_cast"	1	0.0049	0.0049	0.0049	0.0049	0.0049	0.0054	0.0054	0.0054	0.0054	0.0054	0	0	0	0	0	0.0023	0.0023	0.0023	0.0023	0.0023	0	0	0	0	0	0.0057	0.0057	0.0057	0.0057	0.0057	0.0025	0.0025	0.0025	0.0025	0.0025	0.0016	0.0016	0.0016	0.0016	0.0016	0	0	0	0	0	9.00E-04	9.00E-04	9.00E-04	9.00E-04	9.00E-04	0.0211	0.0211	0.0211	0.0211	0.0211	0.004	0.004	0.004	0.004	0.004	0	0	0	0	0	0.0014	0.0014	0.0014	0.0014	0.0014	0.0234	0.0234	0.0234	0.0234	0.0234	0.0015	0.0015	0.0015	0.0015	0.0015	0	0	0	0	0	0	0	0	0	0	0.0179	0.0179	0.0179	0.0179	0.0179	0.0179	0.0179	0.0179	0.0179	0.0179	0.025	0.025	0.025	0.025	0.025	0.0475	0.0475	0.0475	0.0475	0.0475	0.0726	0.0726	0.0726	0.0726	0.0726	0	0	0	0	0	0.0041	0.0041	0.0041	0.0041	0.0041
TARA_N000002314	SAMEA2622959	ERS493134	TARA_129	TARA_20110910T1757Z_129_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	5	20	TARA_129_SRF_5-20	SEQ-(500mL-or-15min)_W5-20	TARA_20110910T1757Z_129_EVENT_PUMP_SRF_(5m)_SEQ-(500mL-or-15min)_W5-20_N000002314	7.9148	P00DT03H13M	"tara_20110910t2113z_129_event_cast,tara_20110911t0502z_129_event_cast"	1	0.0049	0.0049	0.0049	0.0049	0.0049	0.0054	0.0054	0.0054	0.0054	0.0054	0	0	0	0	0	0.0023	0.0023	0.0023	0.0023	0.0023	0	0	0	0	0	0.0057	0.0057	0.0057	0.0057	0.0057	0.0025	0.0025	0.0025	0.0025	0.0025	0.0016	0.0016	0.0016	0.0016	0.0016	0	0	0	0	0	9.00E-04	9.00E-04	9.00E-04	9.00E-04	9.00E-04	0.0211	0.0211	0.0211	0.0211	0.0211	0.004	0.004	0.004	0.004	0.004	0	0	0	0	0	0.0014	0.0014	0.0014	0.0014	0.0014	0.0234	0.0234	0.0234	0.0234	0.0234	0.0015	0.0015	0.0015	0.0015	0.0015	0	0	0	0	0	0	0	0	0	0	0.0179	0.0179	0.0179	0.0179	0.0179	0.0179	0.0179	0.0179	0.0179	0.0179	0.025	0.025	0.025	0.025	0.025	0.0475	0.0475	0.0475	0.0475	0.0475	0.0726	0.0726	0.0726	0.0726	0.0726	0	0	0	0	0	0.0041	0.0041	0.0041	0.0041	0.0041
TARA_N000001923	SAMEA2731578	ERS492598	TARA_118	TARA_20110701T2248Z_118_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	180	2000	TARA_118_SRF_180-2000	SEQ-(500mL-or-15min)_N180-2000	TARA_20110701T2248Z_118_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N180-2000_N000001923	0.007753	P00DT01H34M	"tara_20110702t0024z_118_event_cast,tara_20110701t1025z_117_event_cast,tara_20110630t0910z_116_event_cast"	3	0.006933	0.006933	0.006933	0.006933	0.006933	0.0207	0.0207	0.0207	0.0207	0.0207	0	0	0	0	0	0.0034	0.0034	0.0034	0.0034	0.0034	0	0	0	0	0	0.0044	0.0044	0.0044	0.0044	0.0044	0.0139	0.0139	0.0139	0.0139	0.0139	0.0061	0.0061	0.0061	0.0061	0.0061	0.018433	0.018433	0.018433	0.018433	0.018433	0.001967	0.001967	0.001967	0.001967	0.001967	0.0142	0.0142	0.0142	0.0142	0.0142	0.002667	0.002667	0.002667	0.002667	0.002667	0.011667	0.011667	0.011667	0.011667	0.011667	0.000367	0.000367	0.000367	0.000367	0.000367	0.0285	0.0285	0.0285	0.0285	0.0285	0.000533	0.000533	0.000533	0.000533	0.000533	0	0	0	0	0	0	0	0	0	0	0.0771	0.0771	0.0771	0.0771	0.0771	0.0771	0.0771	0.0771	0.0771	0.0771	0	0	0	0	0	0.264433	0.264433	0.264433	0.264433	0.264433	0.264433	0.264433	0.264433	0.264433	0.264433	0.003667	0.003667	0.003667	0.003667	0.003667	0.008333	0.008333	0.008333	0.008333	0.008333
TARA_N000001922	SAMEA2731531	ERS492597	TARA_118	TARA_20110701T2203Z_118_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	20	180	TARA_118_SRF_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20110701T2203Z_118_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N20-180_N000001922	0.005032	P00DT02H19M	"tara_20110702t0024z_118_event_cast,tara_20110701t1025z_117_event_cast,tara_20110630t0910z_116_event_cast"	3	0.006933	0.006933	0.006933	0.006933	0.006933	0.0207	0.0207	0.0207	0.0207	0.0207	0	0	0	0	0	0.0034	0.0034	0.0034	0.0034	0.0034	0	0	0	0	0	0.0044	0.0044	0.0044	0.0044	0.0044	0.0139	0.0139	0.0139	0.0139	0.0139	0.0061	0.0061	0.0061	0.0061	0.0061	0.018433	0.018433	0.018433	0.018433	0.018433	0.001967	0.001967	0.001967	0.001967	0.001967	0.0142	0.0142	0.0142	0.0142	0.0142	0.002667	0.002667	0.002667	0.002667	0.002667	0.011667	0.011667	0.011667	0.011667	0.011667	0.000367	0.000367	0.000367	0.000367	0.000367	0.0285	0.0285	0.0285	0.0285	0.0285	0.000533	0.000533	0.000533	0.000533	0.000533	0	0	0	0	0	0	0	0	0	0	0.0771	0.0771	0.0771	0.0771	0.0771	0.0771	0.0771	0.0771	0.0771	0.0771	0	0	0	0	0	0.264433	0.264433	0.264433	0.264433	0.264433	0.264433	0.264433	0.264433	0.264433	0.264433	0.003667	0.003667	0.003667	0.003667	0.003667	0.008333	0.008333	0.008333	0.008333	0.008333
