Sample_event_ID	ISO_DateTime	lat	lon	cruise_ID	cruise_expedition	sampling_event_type	Station_name
AN10_S2_25052010755	25-05-2010T07:55:00	10.29	-54.51	AN10/KN197-08	ANACONDAS	pump	Station 2
AN10_S3_26052010910	26-05-2010T09:10:00	7.29	-53	AN10/KN197-08	ANACONDAS	pump	Station 3
AN10_S3_26052010823	26-05-2010T08:23:00	7.29	-53	AN10/KN197-08	ANACONDAS	pump	Station 3
AN10_S23_16062010806	16-06-2010T08:06:00	10.68	-54.42	AN10/KN197-08	ANACONDAS	pump	Station 23
AN10_S23_160620101015	16-06-2010T10:15:00	10.68	-54.42	AN10/KN197-08	ANACONDAS	pump	Station 23
AN10_S25_18062010757	18-06-2010T07:57:00	11.31	-56.43	AN10/KN197-08	ANACONDAS	pump	Station 25
AN10_S25_18062010845	18-06-2010T08:45:00	11.31	-56.43	AN10/KN197-08	ANACONDAS	pump	Station 25
AN10_S2_25052010710	25-05-2010T07:10:00	10.29	-54.51	AN10/KN197-08	ANACONDAS	pump	Station 2
AN10_S2_25052010839	25-05-2010T08:39:00	10.29	-54.51	AN10/KN197-08	ANACONDAS	pump	Station 2
AN10_S10_05062010749	05-06-2010T07:49:00	4.88	-51.36	AN10/KN197-08	ANACONDAS	pump	Station 10
AN10_S10_05062010850	05-06-2010T08:50:00	4.88	-51.36	AN10/KN197-08	ANACONDAS	pump	Station 10
AN10_S3_260520101000	26-05-2010T10:00:00	7.29	-53	AN10/KN197-08	ANACONDAS	pump	Station 3
AN10_S27_21062010843	21-06-2010T08:43:00	12.41	-52.22	AN10/KN197-08	ANACONDAS	pump	Station 27
AN10_S25_18062010930	18-06-2010T09:30:00	11.31	-56.43	AN10/KN197-08	ANACONDAS	pump	Station 25
AN10_S27_21062010928	21-06-2010T09:28:00	12.41	-52.22	AN10/KN197-08	ANACONDAS	pump	Station 27
AN10_S27_21062010755	21-06-2010T07:55:00	12.41	-52.22	AN10/KN197-08	ANACONDAS	pump	Station 27
AN12J_S4_180720121043	18-07-2012T10:43:00	6.374	-51.398	AT21-04	ANACONDAS	unknown	Station 4
AN12J_S15_240720121230	24-07-2012T12:30:00	0.265	-47.15	AT21-04	ANACONDAS	unknown	Station 15
AN12J_S10_220720121029	22-07-2012T10:29:00	1.338	-49.371	AT21-04	ANACONDAS	unknown	Station 10
AN12J_S11_230720121100	23-07-2012T11:00:00	0.949	-48.674	AT21-04	ANACONDAS	unknown	Station 11
AN12J_S2_150720121055	15-07-2012T10:55:00	10.664	-55.032	AT21-04	ANACONDAS	unknown	Station 2
AN12J_S6_210720120941	21-07-2012T09:41:00	3.506	-50.5	AT21-04	ANACONDAS	unknown	Station 6
